0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.1_Total Costs,A.1_Dike Investment Costs,A.1_Expected Annual Damage,A.1_Expected Number of Deaths,A.2_Total Costs,A.2_Dike Investment Costs,A.2_Expected Annual Damage,A.2_Expected Number of Deaths,A.3_Total Costs,A.3_Dike Investment Costs,A.3_Expected Annual Damage,A.3_Expected Number of Deaths,A.4_Total Costs,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Total Costs,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,1,0,0,0,1,0,0,0,0,0,2,4,3,4,0,3,2,2,0,0,88429031.37443781,88429031.37443781,0.0,0.0,107328930.3779165,106860238.4866137,468691.8913027902,0.000475871211852148,31005796.718953025,24198032.45136138,6807764.267591643,0.01290734919128517,49637849.34775376,15173808.632728375,34464040.71502539,0.017093971017996257,43612442.78591889,0.0,43612442.78591889,0.04138767134154703,115300000.0,0.0
1,1,1,0,1,1,0,0,0,1,1,5,1,4,5,0,3,1,0,5,3,92648501.6727509,92648501.6727509,0.0,0.0,121314835.77466118,121314835.77466118,0.0,0.0,24198032.45136138,24198032.45136138,0.0,0.0,62280081.02517751,6320800.309666242,55959280.71551126,0.00957073628340234,72580607.18485624,72580607.18485624,0.0,0.0,704500000.0,2133.4226437294433
1,0,0,0,1,1,0,1,1,1,4,1,3,4,2,0,4,1,0,0,3,76431543.68310125,76431543.68310125,0.0,0.0,102336429.85235605,102336429.85235605,0.0,0.0,26403379.542306438,26403379.542306438,0.0,0.0,39411900.4353288,6320800.309666242,33091100.12566255,0.0018171551213032931,30351526.042379983,30351526.042379983,0.0,0.0,779400000.0,3086.9035965677963
0,1,1,1,1,0,1,1,0,0,4,5,1,5,1,0,5,1,2,1,4,92648501.6727509,92648501.6727509,0.0,0.0,104651657.86617124,104651657.86617124,0.0,0.0,28798397.130608946,28798397.130608946,0.0,0.0,42056015.94662711,13903423.98391871,28152591.9627084,0.0015760453677843976,59554855.274964996,59554855.274964996,0.0,0.0,793300000.0,2599.0374662286335
0,1,0,1,1,0,1,1,1,0,1,0,4,1,1,1,5,3,3,5,4,47847947.961454235,47847947.961454235,0.0,0.0,95009090.62164998,77797112.44472042,17211978.176929567,0.0060968230012345866,50081750.628976494,50081750.628976494,0.0,0.0,20950703.236649197,17803345.000196747,3147358.2364524505,0.0005421124087964046,76159688.97366215,76159688.97366215,0.0,0.0,831600000.0,595.6886128431343
1,1,0,0,0,1,1,1,0,1,4,0,0,2,0,1,0,1,1,5,4,0.0,0.0,0.0,0.0,49892500.26256965,42818415.6714978,7074084.5910718525,0.0008494195595587965,20299287.62732069,20299287.62732069,0.0,0.0,31973417.00711097,12857587.774250694,19115829.232860275,0.0010661808064619568,76159688.97366215,76159688.97366215,0.0,0.0,698400000.0,2241.7944143055756
0,0,1,0,1,1,1,0,0,1,0,4,0,2,4,2,0,4,1,2,1,47847947.961454235,47847947.961454235,0.0,0.0,103395507.74827927,99885909.50154212,3509598.2467371495,0.0034857346225677143,22167818.198803753,22167818.198803753,0.0,0.0,21493498.006707046,16925244.491970196,4568253.514736851,0.002435139073805734,54355764.74753119,54355764.74753119,0.0,0.0,656500000.0,0.0
1,0,0,0,0,1,0,1,0,0,1,2,5,0,2,5,1,2,2,0,3,94979303.71425684,94979303.71425684,0.0,0.0,74098185.65750793,42818415.6714978,31279769.98601012,0.010897759945523864,52811167.63503672,52811167.63503672,0.0,0.0,37684891.227634035,15173808.632728375,22511082.59490566,0.0038840133552679795,30351526.042379983,30351526.042379983,0.0,0.0,236500000.0,1724.7258501479419
0,1,1,1,0,1,0,0,1,0,1,5,4,1,5,1,1,4,3,2,4,110573595.57493308,110573595.57493308,0.0,0.0,113504856.03800474,99685318.93337613,13819537.104628604,0.0049241992575835385,41292219.28177295,41292219.28177295,0.0,0.0,19364628.02360858,19364628.02360858,0.0,0.0,63275368.490582086,63275368.490582086,0.0,0.0,807000000.0,380.94630114629
0,0,1,1,1,0,1,1,0,1,4,0,1,2,5,0,0,4,2,0,5,32694901.094161935,32694901.094161935,0.0,0.0,109895119.05026895,106358076.75473303,3537042.2955359262,0.0004247097797793982,0.0,0.0,0.0,0.0,18858217.018102318,18081997.288140487,776219.7299618302,4.842804463596843e-05,36676675.840294495,36676675.840294495,0.0,0.0,964800000.0,301.4118831764482
