0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.4_Total Costs,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Total Costs,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Overijssel_Deaths,Overijssel_Damages,Overijssel_Investment,Overijssel_RfR_num
0,1,0,0,0,0,0,0,0,0,3,3,5,0,0,4,2,5,0,1,0,76341914.60551725,11068771.68625446,65273142.9192628,0.0043773051114127,25037214.086173728,25037214.086173728,0.0,0.0,84600000.0,8110.699632213914,0.0043773051114127,65273142.9192628,36105985.772428185,0
0,1,0,0,0,1,1,1,0,0,3,2,2,1,1,2,4,4,0,0,0,62165312.91580683,9695195.36216505,52470117.55364178,0.0033343295567522,0.0,0.0,0.0,0.0,357700000.0,5162.19790810654,0.0033343295567522,52470117.55364178,9695195.36216505,1
0,0,0,0,0,0,1,0,1,0,3,2,5,3,2,3,1,4,0,0,0,63340939.57203015,9695195.36216505,53645744.2098651,0.0034331957711444,0.0,0.0,0.0,0.0,377300000.0,5150.79038727063,0.0034331957711444,53645744.2098651,9695195.36216505,2
0,1,0,0,1,0,1,0,0,0,3,5,2,1,5,2,3,3,0,5,0,79699036.38404159,8453407.696608048,71245628.68743354,0.0044767944818482,36676675.840294495,36676675.840294495,0.0,0.0,236500000.0,7118.604085973197,0.0044767944818482,71245628.68743354,45130083.53690255,1
0,0,0,0,0,0,0,1,1,1,2,3,2,4,0,4,4,5,0,0,5,43509108.234546274,11068771.68625446,32440336.548291814,0.0026200583093228,36676675.840294495,36676675.840294495,0.0,0.0,633400000.0,2500.1262500084736,0.0026200583093228,32440336.548291814,47745447.52654895,1
1,0,1,0,0,1,1,1,1,1,2,2,5,0,0,0,5,0,3,0,1,53985780.73247339,8453407.696608048,45532373.03586534,0.0031969416480702,25037214.086173728,25037214.086173728,0.0,0.0,1087700000.0,4544.107651340536,0.0031969416480702,45532373.03586534,33490621.782781776,2
0,0,1,0,0,1,1,1,1,1,3,2,5,1,0,0,5,0,3,0,1,54184102.98866247,8453407.696608048,45730695.292054415,0.002574850778834,25037214.086173728,25037214.086173728,0.0,0.0,1003100000.0,4798.919547660621,0.002574850778834,45730695.292054415,33490621.782781776,2
1,1,1,1,0,1,1,1,1,0,3,0,5,0,0,0,5,0,0,0,0,56041033.60496389,0.0,56041033.60496389,0.0032081485035355,0.0,0.0,0.0,0.0,1134000000.0,6667.831508269187,0.0032081485035355,56041033.60496389,0.0,2
0,0,0,0,0,0,0,1,0,0,3,5,2,4,5,5,1,1,0,0,0,77595469.75213905,6320800.309666242,71274669.4424728,0.0044806388641007,0.0,0.0,0.0,0.0,121200000.0,6879.452265498631,0.0044806388641007,71274669.4424728,6320800.309666242,0
0,1,0,0,0,0,1,0,0,0,3,0,2,1,1,4,5,1,0,4,1,77462156.99926627,6320800.309666242,71141356.68960002,0.0044629910729022,62015940.60605301,62015940.60605301,0.0,0.0,205800000.0,7307.837381872212,0.0044629910729022,71141356.68960002,68336740.91571926,1
0,0,0,1,0,0,1,1,0,0,2,2,1,0,0,3,1,4,0,0,1,61615398.55748229,9695195.36216505,51920203.19531724,0.0040848826451289,25037214.086173728,25037214.086173728,0.0,0.0,460200000.0,4924.875250106903,0.0040848826451289,51920203.19531724,34732409.44833878,1
0,0,0,0,0,0,0,0,0,0,3,0,5,0,1,0,4,5,3,0,1,63691500.46533564,21068617.1353041,42622883.33003154,0.0029180597291611,25037214.086173728,25037214.086173728,0.0,0.0,0.0,5505.780064855127,0.0029180597291611,42622883.33003154,46105831.22147783,0
0,1,1,1,0,0,1,1,1,1,3,1,2,3,0,0,0,0,0,5,0,50493001.90213199,0.0,50493001.90213199,0.0027629952646292,36676675.840294495,36676675.840294495,0.0,0.0,1274800000.0,5437.040591847736,0.0027629952646292,50493001.90213199,36676675.840294495,2
0,0,1,1,0,0,1,1,0,1,2,1,5,3,3,0,4,3,0,5,0,55190523.03978253,8453407.696608048,46737115.34317447,0.0035741111901506,36676675.840294495,36676675.840294495,0.0,0.0,934100000.0,3971.297365662035,0.0035741111901506,46737115.34317447,45130083.53690255,1
0,0,0,0,0,1,1,0,0,0,3,4,3,0,0,0,2,4,0,0,0,68820710.60186487,9695195.36216505,59125515.23969983,0.0038802585911967,0.0,0.0,0.0,0.0,151900000.0,6715.303159319426,0.0038802585911967,59125515.23969983,9695195.36216505,1
0,1,1,0,0,1,1,1,1,0,2,1,5,0,1,1,5,0,0,0,5,56136860.70662712,0.0,56136860.70662712,0.0040249262781212,36676675.840294495,36676675.840294495,0.0,0.0,831600000.0,5023.566611555887,0.0040249262781212,56136860.70662712,36676675.840294495,2
